token,idade,genero,raca_cor_etnia,pcd,uf_onde_mora,vive_no_brasil,pais_onde_mora,nivel_de_ensino,area_de_formacao,situacao_de_trabalho,setor,cargo_atual,nivel_profissional,faixa_salarial,tempo_experiencia_dados,modelo_trabalho_atual,modelo_trabalho_ideal
ajp1y2v2yyy3nziajp1y2etva51yennp,18,Masculino,Preta,Não,BA,True,Brasil,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Somente Estudante (graduação),Não informado,Estudante,Não informado,Não informado,Não informado,Não informado,Não informado
f9u5p4qeft8la1sfs73yf9u59s9rm8s2,18,Masculino,Branca,Não,MG,True,Brasil,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Setor Público,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
umy2z6r1n1ty8tsu2umy2le4i0maho1z,18,Masculino,Branca,Não,SP,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Área da Saúde,Outra Opção,Júnior,Menos de R$ 1.000/mês,Não tenho experiência na área de dados,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
6lvxue97fx62df0qb6lvxu7atzxs2ehl,19,Masculino,Branca,Não,SC,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Área de Consultoria,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Modelo 100% remoto,Modelo 100% remoto
dgp4ya24lwvrfedwdgp4yakcm0490mxx,19,Masculino,Preta,Não,SP,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Analytics Engineer,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
qlirs7btxom1i11ytqlijz5bmfysb9vg,19,Feminino,Branca,Não,PR,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Telecomunicação,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
bj45hcupd35y3gwckh7hbj45hcusjhnl,19,Masculino,Parda,Não,MG,True,Brasil,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Trabalho na área Acadêmica/Pesquisador,Não informado,Não Informado,Não informado,Não informado,Não informado,Não informado,Não informado
0h4merg7kwzo0j568v0h4mersxb83vjc,19,Masculino,Branca,Não,SP,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Marketing,Analista de Negócios/Business Analyst,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 3 a 4 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
g72s1spv0gcds1akdfrytrg72s1spjjb,19,Masculino,Branca,Não,MT,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Marketing,Analista de BI/BI Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo 100% remoto
u574uiyapkvrhozk5eku574uiyainz9v,19,Masculino,Branca,Não,SP,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Entretenimento ou Esportes,Outra Opção,Júnior,Menos de R$ 1.000/mês,Menos de 1 ano,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial
650rnxzxbzjxxsmtk650rnxzd5qdoqwy,19,Masculino,Parda,Não,GO,True,Brasil,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Finanças ou Bancos,Analista de Negócios/Business Analyst,Pleno,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial
t15okkgf7aekvsit15s9yrf5ohmkvawi,19,Feminino,Branca,Não,SP,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),Não informado,Estudante,Não informado,Não informado,Não informado,Não informado,Não informado
nmmtdpyxnilwe8oshiinmmtdpyummc41,19,Masculino,Branca,Não,RS,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Indústria,Analista de BI/BI Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
x1sktyr4i150mibrhxcux1skt2t8jl4f,19,Masculino,Branca,Não,SP,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Outra Opção,Outra Opção,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Não tenho experiência na área de dados,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
4quz8z0v5vwwz2iia4quz97sg5fr0you,19,Masculino,Branca,Não,MG,True,Brasil,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Somente Estudante (graduação),Não informado,Estudante,Não informado,Não informado,Não informado,Não informado,Não informado
vll27ya273djg6vll2082tgfxvpybv82,19,Masculino,Branca,Não,DF,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),Não informado,Estudante,Não informado,Não informado,Não informado,Não informado,Não informado
6b0uy326ywo4e9rq51lj6b0uy326u8v5,19,Feminino,Branca,Não,DF,True,Brasil,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Somente Estudante (graduação),Não informado,Estudante,Não informado,Não informado,Não informado,Não informado,Não informado
qt6mof1et6jbrxwhxilvqt6mof1ujiue,19,Masculino,Branca,Sim,DF,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),Não informado,Estudante,Não informado,Não informado,Não informado,Não informado,Não informado
uue8fwcmap0n104nluue8mcu6tadu6e7,19,Masculino,Branca,Não,DF,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Tecnologia/Fábrica de Software,Analista de Dados/Data Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
q13fewozjcb7kb4mtqq13feh6xq2hs2z,19,Masculino,Branca,Não,DF,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Área da Saúde,Analista de BI/BI Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo 100% remoto
jrwjq4ryrap990q80jrwjqizv8439do4,19,Feminino,Parda,Não,SP,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Tecnologia/Fábrica de Software,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
gm8gwyni9s0eamvjkppgm8gwynkbvf0v,19,Masculino,Branca,Não,DF,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Automotivo,Não Informado,Não informado,de R$ 4.001/mês a R$ 6.000/mês,Não tenho experiência na área de dados,Modelo 100% presencial,Modelo 100% presencial
8k6ja9qln1f278k6jkxnvglw1ldg4k95,19,Masculino,Parda,Não,SP,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),Não informado,Estudante,Não informado,Não informado,Não informado,Não informado,Não informado
wes849iavpfnuo1mbsnvwes8497hh7xk,19,Masculino,Branca,Não,DF,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),Não informado,Estudante,Não informado,Não informado,Não informado,Não informado,Não informado
a0leudhajplamm1lvo1i1za0leudz2mj,19,Masculino,Parda,Não,DF,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),Não informado,Estudante,Não informado,Não informado,Não informado,Não informado,Não informado
g9g8m15tnphqix41921g9g8m15ytx59v,19,Masculino,Parda,Não,DF,True,Brasil,Prefiro não informar,Não informado,Somente Estudante (graduação),Não informado,Estudante,Não informado,Não informado,Não informado,Não informado,Não informado
6l616sb1fx4b797e5bd87h6l616sm0xs,19,Masculino,Outra,Não,DF,True,Brasil,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Tecnologia/Fábrica de Software,Outra Opção,Júnior,Menos de R$ 1.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial
z77px238ozm3f32cpyswykz77px23ztf,19,Masculino,Branca,Não,DF,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Imobiliário/ Construção Civil,Outra Opção,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 5 a 6 anos,Modelo 100% presencial,Modelo 100% presencial
7v48by2r1cafeq0g7v4ew0slx6obelxe,19,Feminino,Parda,Não,MG,True,Brasil,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Outra Opção,Analista de Dados/Data Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 3 a 4 anos,Modelo 100% remoto,Modelo 100% remoto
troi693sx8su9znftroi60o4zlj4wfz3,19,Masculino,Branca,Não,MG,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,"Desempregado, buscando recolocação",Não informado,Desempregado,Não informado,Não informado,Não informado,Não informado,Não informado
no4elw0hx06e746sb37no4euw7h323qw,19,Masculino,Parda,Não,AL,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Setor Público,Outra Opção,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
1w30ys1cmbi7q7u1we228h9otcmnaoh2,19,Feminino,Parda,Sim,PB,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),Não informado,Estudante,Não informado,Não informado,Não informado,Não informado,Não informado
uqfptzdpvym1enouqfpt1hoxhogfz8be,19,Masculino,Branca,Não,PE,True,Brasil,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Freelancer,Educação,Outra Opção,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Não tenho experiência na área de dados,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
blq95jhum6i5vhrmwbblq95jhumauxlf,19,Masculino,Branca,Não,DF,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,Analista de BI/BI Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
btkqwnb49kbhkrunbj750btkqwnbdnkk,19,Feminino,Branca,Não,SP,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Varejo,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
6ltlnw2gd0fltrxvp26ltlnwrcolvumc,19,Masculino,Preta,Não,RS,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),Não informado,Estudante,Não informado,Não informado,Não informado,Não informado,Não informado
bnp4tcm3drxlnnd2dz7bnp4tg9436b9g,19,Feminino,Branca,Não,PR,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Indústria,Analista de Negócios/Business Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Não tenho experiência na área de dados,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
0seyh4d7lxwj64iflbu0seyhd7xpadb3,19,Feminino,Branca,Não,PR,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Indústria,Analista de Negócios/Business Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
3egotvgaqe0mhj83eguh8ustdpdvz5pk,19,Masculino,Branca,Não,MG,True,Brasil,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Somente Estudante (graduação),Não informado,Estudante,Não informado,Não informado,Não informado,Não informado,Não informado
2xgrvf83fyzncnmx42xgrvov4rgzzfr6,19,Feminino,Branca,Não,RS,True,Brasil,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Estagiário,Finanças ou Bancos,Analista de BI/BI Analyst,Júnior,Menos de R$ 1.000/mês,Menos de 1 ano,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
wlifytxq4mujf3itdwlifytxroexept1,19,Masculino,Parda,Não,PE,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),Não informado,Estudante,Não informado,Não informado,Não informado,Não informado,Não informado
83i3spxrxcfwk83i3sdezx8v2979c6lv,19,Masculino,Branca,Não,DF,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Área da Saúde,Analista de BI/BI Analyst,Júnior,Menos de R$ 1.000/mês,Menos de 1 ano,Modelo 100% presencial,Modelo 100% remoto
znjaxsrcf69rhw990ebtaznjaxsrt2d0,19,Masculino,Branca,Não,DF,True,Brasil,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Marketing,Não Informado,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo 100% remoto,Modelo 100% remoto
ztw9eidijykkux2zhk7x6lv2mcztw9ei,19,Masculino,Branca,Não,RJ,True,Brasil,Não tenho graduação formal,Sem graduação formal,Estagiário,Outra Opção,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,Menos de R$ 1.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
v2tojez7lr469ivcc1ekvv2tojezbhwx,19,Feminino,Branca,Não,PR,True,Brasil,Estudante de Graduação,Outra opção,Estagiário,Telecomunicação,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
c1za0pr260318avp8q7slc1za0pdwx95,19,Masculino,Branca,Não,PR,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Tecnologia/Fábrica de Software,Analista de Suporte/Analista Técnico,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
g9tnu5yjfsfxsprgg9tnuopqpupcm7j6,19,Masculino,Branca,Não,SP,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),Não informado,Estudante,Não informado,Não informado,Não informado,Não informado,Não informado
1vpdju3r423qm7ju6w1vpdvplgd0xc2x,20,Feminino,Branca,Não,SP,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,Analista de Dados/Data Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto
z6uymrq3bqe2kr91z6uxlw5rb8uech6u,20,Masculino,Branca,Não,ES,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Marketing,Analista de Dados/Data Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
aq9qpv42w7qflaq8qk5wnju4j5zsai2p,20,Feminino,Branca,Não,SP,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Finanças ou Bancos,Analytics Engineer,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo 100% remoto
gtnf46g5gefoi9kgtnfhytr71n68zgbc,20,Masculino,Branca,Não,ES,True,Brasil,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Área da Saúde,Analista de BI/BI Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
xkwhm04nisbjfbxkwd3nfc6z34tb3wre,20,Masculino,Branca,Não,SP,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Finanças ou Bancos,Engenheiro de Dados/Data Engineer/Data Architect,Júnior,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
3r9x2ktu6okw3u572ppdx3r9x25urark,20,Masculino,Branca,Não,MA,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),Não informado,Estudante,Não informado,Não informado,Não informado,Não informado,Não informado
42t0km722rj3sqpv7tg242t0km5kp1p0,20,Masculino,Branca,Não,RS,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Finanças ou Bancos,Analista de Dados/Data Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial
p7kspgp8s5ygjp70uadletdcr7uddv0u,20,Feminino,Parda,Não,DF,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Tecnologia/Fábrica de Software,Analytics Engineer,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
kcekd8ezl3pfmv8wjlkcehyg3r2smhn7,20,Feminino,Branca,Não,RJ,True,Brasil,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Estagiário,Indústria,Analista de Dados/Data Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo 100% remoto,Modelo 100% remoto
robh9o1c53lo1iu59robh95kphmja0xv,20,Masculino,Parda,Não,SP,True,Brasil,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Estagiário,Tecnologia/Fábrica de Software,Outra Opção,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
vzjxuhy80ejdee7vzjxu14fac7f73l1p,20,Masculino,Branca,Não,SP,True,Brasil,Estudante de Graduação,Outras Engenharias (não incluir engenharia de software ou TI),Empregado (CLT),Tecnologia/Fábrica de Software,Analista de BI/BI Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial
f5bbn8rs263yphdbg2vhjf5bbn8gru0u,20,Masculino,Parda,Não,RJ,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Marketing,Analista de BI/BI Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
a7bv1iyfuymkbmah4yyqb8a7bv18v0sx,20,Masculino,Branca,Não,RJ,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Tecnologia/Fábrica de Software,Analista de BI/BI Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Modelo 100% remoto,Modelo 100% remoto
wwozuekkx9m83sprkj1wwozu28yjaz6j,20,Masculino,Branca,Não,DF,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Outra Opção,Não Informado,Júnior,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
9f62iq20hzmkf5ylo9f62s6pzzfgw1m4,20,Masculino,Amarela,Não,SP,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Tecnologia/Fábrica de Software,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
